date,sjc_buy,sjc_sell,doji_buy,doji_sell
2025-07-04,118900.0,120900.0,,
2025-07-07,118500.0,120500.0,,
2025-07-08,119000.0,121000.0,,
2025-07-09,118600.0,120600.0,,
2025-07-10,118800.0,120800.0,,
2025-07-11,119000.0,121000.0,,
2025-07-12,119500.0,121500.0,,
2025-07-15,119100.0,121100.0,,
2025-07-16,118600.0,120600.0,,
2025-07-18,119500.0,121000.0,,
2025-07-19,119700.0,121200.0,,
2025-07-21,120000.0,121500.0,,
2025-07-22,120000.0,122000.0,,
2025-07-23,120700.0,122700.0,,
2025-07-24,119700.0,121700.0,,
2025-07-26,119600.0,121100.0,,
2025-07-29,119700.0,121200.0,,
2025-07-30,120000.0,121500.0,,
2025-07-31,119900.0,121400.0,,
2025-08-02,121500.0,123500.0,,
2025-08-04,121700.0,123300.0,,
2025-08-05,122200.0,123800.0,,
2025-08-06,122400.0,123800.0,,
2025-08-07,122400.0,123800.0,,
2025-08-08,123200.0,124400.0,,
2025-08-11,122700.0,123900.0,,
2025-08-12,122700.0,123900.0,,
2025-08-13,122700.0,123900.0,,
2025-08-14,123700.0,124700.0,,
2025-08-15,123500.0,124500.0,,
2025-08-18,124000.0,125000.0,,
2025-08-20,123800.0,124800.0,,
2025-08-21,124400.0,125400.0,,
2025-08-22,124400.0,125400.0,,
2025-08-23,125600.0,126600.0,,
2025-08-25,125600.0,127100.0,,
2025-08-26,125700.0,127700.0,,
2025-08-27,126000.0,128000.0,,
2025-08-28,127000.0,128500.0,,
2025-08-29,127800.0,129300.0,,
2025-08-30,129100.0,130600.0,,
2025-09-03,131900.0,133400.0,,
2025-09-04,132400.0,133900.0,,
2025-09-05,132900.0,134400.0,,
2025-09-06,133900.0,135400.0,,
2025-09-08,133100.0,135100.0,,
2025-09-09,133800.0,135800.0,,
2025-09-10,133300.0,135300.0,,
2025-09-11,130300.0,133300.0,,
2025-09-12,128400.0,131400.0,,
2025-09-13,128100.0,131100.0,,
2025-09-15,128600.0,131100.0,,
2025-09-16,130300.0,132300.0,,
2025-09-18,130000.0,132000.0,,
2025-09-19,130000.0,132000.0,,
2025-09-20,131000.0,133000.0,,
